zip,county,division,region
00601,Adjuntas,FL3,Southeast
00602,Aguada,FL3,Southeast
00603,Aguadilla,FL3,Southeast
00604,Aguadilla,FL3,Southeast
00605,Aguadilla,FL3,Southeast
00606,Maricao,FL3,Southeast
00610,Anasco,FL3,Southeast
00611,Utuado,FL3,Southeast
00612,Arecibo,FL3,Southeast
00613,Arecibo,FL3,Southeast
00614,Arecibo,FL3,Southeast
00616,Arecibo,FL3,Southeast
00617,Barceloneta,FL3,Southeast
00622,Cabo Rojo,FL3,Southeast
00623,Cabo Rojo,FL3,Southeast
00624,Penuelas,FL3,Southeast
00627,Camuy,FL3,Southeast
00631,Lares,FL3,Southeast
00636,San German,FL3,Southeast
00637,Sabana Grande,FL3,Southeast
00638,Ciales,FL3,Southeast
00641,Utuado,FL3,Southeast
00646,Dorado,FL3,Southeast
00647,Guanica,FL3,Southeast
00650,Florida,FL3,Southeast
00652,Arecibo,FL3,Southeast
00653,Guanica,FL3,Southeast
00656,Guayanilla,FL3,Southeast
00659,Hatillo,FL3,Southeast
00660,Hormigueros,FL3,Southeast
00662,Isabela,FL3,Southeast
00664,Jayuya,FL3,Southeast
00667,Lajas,FL3,Southeast
00669,Lares,FL3,Southeast
00670,Las Marias,FL3,Southeast
00674,Manati,FL3,Southeast
00676,Moca,FL3,Southeast
00677,Rincon,FL3,Southeast
00678,Quebradillas,FL3,Southeast
00680,Mayaguez,FL3,Southeast
00681,Mayaguez,FL3,Southeast
00682,Mayaguez,FL3,Southeast
00683,San German,FL3,Southeast
00685,San Sebastian,FL3,Southeast
00687,Morovis,FL3,Southeast
00688,Arecibo,FL3,Southeast
00690,Aguadilla,FL3,Southeast
00692,Vega Alta,FL3,Southeast
00693,Vega Baja,FL3,Southeast
00694,Vega Baja,FL3,Southeast
00698,Yauco,FL3,Southeast
00703,Aguas Buenas,FL3,Southeast
00704,Salinas,FL3,Southeast
00705,Aibonito,FL3,Southeast
00707,Maunabo,FL3,Southeast
00714,Arroyo,FL3,Southeast
00715,Ponce,FL3,Southeast
00716,Ponce,FL3,Southeast
00717,Ponce,FL3,Southeast
00718,Naguabo,FL3,Southeast
00719,Naranjito,FL3,Southeast
00720,Orocovis,FL3,Southeast
00721,Rio Grande,FL3,Southeast
00723,Patillas,FL3,Southeast
00725,Caguas,FL3,Southeast
00726,Caguas,FL3,Southeast
00727,Caguas,FL3,Southeast
00728,Ponce,FL3,Southeast
00729,Canovanas,FL3,Southeast
00730,Ponce,FL3,Southeast
00731,Ponce,FL3,Southeast
00732,Ponce,FL3,Southeast
00733,Ponce,FL3,Southeast
00734,Ponce,FL3,Southeast
00735,Ceiba,FL3,Southeast
00736,Cayey,FL3,Southeast
00737,Cayey,FL3,Southeast
00738,Fajardo,FL3,Southeast
00739,Cidra,FL3,Southeast
00740,Fajardo,FL3,Southeast
00741,Humacao,FL3,Southeast
00742,Ceiba,FL3,Southeast
00744,Naguabo,FL3,Southeast
00745,Rio Grande,FL3,Southeast
00751,Salinas,FL3,Southeast
00754,San Lorenzo,FL3,Southeast
00757,Santa Isabel,FL3,Southeast
00765,Vieques,FL3,Southeast
00766,Villalba,FL3,Southeast
00767,Yabucoa,FL3,Southeast
00769,Coamo,FL3,Southeast
00771,Las Piedras,FL3,Southeast
00772,Loiza,FL3,Southeast
00773,Luquillo,FL3,Southeast
00775,Culebra,FL3,Southeast
00777,Juncos,FL3,Southeast
00778,Gurabo,FL3,Southeast
00780,Ponce,FL3,Southeast
00782,Comerio,FL3,Southeast
00783,Corozal,FL3,Southeast
00784,Guayama,FL3,Southeast
00785,Guayama,FL3,Southeast
00786,Aibonito,FL3,Southeast
00791,Humacao,FL3,Southeast
00792,Humacao,FL3,Southeast
00794,Barranquitas,FL3,Southeast
00795,Juana Diaz,FL3,Southeast
00901,San Juan,FL3,Southeast
00902,San Juan,FL3,Southeast
00906,San Juan,FL3,Southeast
00907,San Juan,FL3,Southeast
00908,San Juan,FL3,Southeast
00909,San Juan,FL3,Southeast
00910,San Juan,FL3,Southeast
00911,San Juan,FL3,Southeast
00912,San Juan,FL3,Southeast
00913,San Juan,FL3,Southeast
00914,San Juan,FL3,Southeast
00915,San Juan,FL3,Southeast
00916,San Juan,FL3,Southeast
00917,San Juan,FL3,Southeast
00918,San Juan,FL3,Southeast
00919,San Juan,FL3,Southeast
00920,San Juan,FL3,Southeast
00921,San Juan,FL3,Southeast
00922,San Juan,FL3,Southeast
00923,San Juan,FL3,Southeast
00924,San Juan,FL3,Southeast
00925,San Juan,FL3,Southeast
00926,San Juan,FL3,Southeast
00927,San Juan,FL3,Southeast
00928,San Juan,FL3,Southeast
00929,San Juan,FL3,Southeast
00930,San Juan,FL3,Southeast
00931,San Juan,FL3,Southeast
00933,San Juan,FL3,Southeast
00934,San Juan,FL3,Southeast
00935,San Juan,FL3,Southeast
00936,San Juan,FL3,Southeast
00937,San Juan,FL3,Southeast
00939,San Juan,FL3,Southeast
00940,San Juan,FL3,Southeast
00949,Toa Baja,FL3,Southeast
00950,Toa Baja,FL3,Southeast
00951,Toa Baja,FL3,Southeast
00952,Toa Baja,FL3,Southeast
00953,Toa Alta,FL3,Southeast
00954,Toa Alta,FL3,Southeast
00955,San Juan,FL3,Southeast
00956,Bayamon,FL3,Southeast
00957,Bayamon,FL3,Southeast
00958,Bayamon,FL3,Southeast
00959,Bayamon,FL3,Southeast
00960,Bayamon,FL3,Southeast
00961,Bayamon,FL3,Southeast
00962,Catano,FL3,Southeast
00963,Catano,FL3,Southeast
00965,Guaynabo,FL3,Southeast
00966,Guaynabo,FL3,Southeast
00968,Guaynabo,FL3,Southeast
00969,Guaynabo,FL3,Southeast
00970,Guaynabo,FL3,Southeast
00971,Guaynabo,FL3,Southeast
00975,San Juan,FL3,Southeast
00976,Trujillo Alto,FL3,Southeast
00977,Trujillo Alto,FL3,Southeast
00978,Trujillo Alto,FL3,Southeast
00979,Carolina,FL3,Southeast
00981,Carolina,FL3,Southeast
00982,Carolina,FL3,Southeast
00983,Carolina,FL3,Southeast
00984,Carolina,FL3,Southeast
00985,Carolina,FL3,Southeast
00986,Carolina,FL3,Southeast
00987,Carolina,FL3,Southeast
00988,Carolina,FL3,Southeast